Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of September 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
10,Const. of Albagan Gym with Stage,Tampakan,CY 2017 20% LDF,90.64%,100.00%,-9.36%," 4,033,389.66 ",200,11/28/17,6/15/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,On-going
11,"Const. of Salway Box Culvert, Brgy. Tablu",Tampakan,9999-Non-Office 5% CF,38.57%,61.29%,-22.72%," 2,987,473.44 ",135,12/26/17,10/17/18,,A BARRIENTOS,MFN BUILDERS,"On-going; project resumed as of September 10, 2018"
12,Installation of Lined Canal along Sta. cruz - Magsaysay Bdrt Road,Tampakan,LDF COUNTERPART TO CMGP,79.97%,62.47%,17.50%," 1,671,780.30 ",90,8/7/18,11/4/18,,A BARRIENTOS,PASE CONSTRUCTION,On-going
13,Conc. Of Nhwy. to Brgy. Concepcion,Koronadal City,CY 2017 20% LDF,100.00%,100.00%,0.00%," 5,919,451.68 ",75,11/28/17,4/16/18,9/3/18,S RENTOZA,BETTER WORK CONSTRUCTION,Completed
14,Construction of 2nd Floor of the Student Dormitory,Koronadal City,CY 2018 Cont. APPROP. GF #211,77.88%,100.00%,-22.12%," 2,989,399.99 ",90,3/27/18,8/18/18,,S RENTOZA,MARBEL DYNAMIC BUILDERS,On-going
15,Upgrading of San Jose-Columbio Bdry. Road,Koronadal City,CY 2018 20% LDF,2.06%,4.64%,-2.58%," 9,988,025.62 ",130,9/23/18,1/30/19,,S RENTOZA,GABRIELLAS ENTERPRISES,On-going; the contractor did not submit PERT/CPM
16,Alteration & Renovation of Extg. Wooden Spectator's Stand and Control Tower @ SCSC (Control Tower),Koronadal City,CY 2018 Cont. APPROP. GF #105,11.36%,5.68%,5.68%," 5,427,551.51 ",150,9/6/18,2/3/19,,S RENTOZA,GABRIELLAS ENTERPRISES,On-going; the contractor did not submit PERT/CPM
17,"Refurbishing & Improvement of Provincial Pre-Audit Div. Office, Finance Bldg.",Koronadal City,CY 2016 CONST. APPROP. #228-GF,100.00%,100.00%,0.00%," 1,041,997.26 ",90,11/22/16,9/7/18,9/4/18,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,Completed
18,"Const. of Bukang Liwayway Bridge/Riverbank Protection, Prk. Artesian, Brgy. San Roque ",Koronadal City,CY 2016 20% LDF,83.84%,93.86%,-10.02%," 15,950,503.14 ",320,12/5/16,9/4/18,,E SOLATORIO,REYDAN BUILDERS,On-going; Suspended due to lacking of items for the installation of steel bridge
19,"Const. of 1 Unit Box Culvert Connecting Prk. Pag-asa & Prk. Blaan, Brgy. Magsaysay",Koronadal City,2017 PDRRMF-IP TF 2.4,37.32%,82.24%,-44.92%," 1,263,126.92 ",50,4/16/18,10/12/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,On-going
20,Completion of PDRR Operations Center & Warehouse @ PEO Compound,Koronadal City,999.4-SB#2-CPDRROCW,54.10%,82.24%,-28.14%," 1,488,317.54 ",70,4/8/18,6/16/18,,E SOLATORIO,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of June 14, 2018 due to the new policy of SOCOTECO 1 in banking of 100kVA transformer; Variation order on process"
21,Purchase & Installation of Elevator (Includes Architectural Design and Elevator Shaft),Koronadal City,2018 CONT. APPROP. GF #133,88.56%,88.57%,-0.01%," 9,326,531.86 ",130,5/21/18,10/12/18,,E SOLATORIO,ROYAL SUMMIT INFINITY DEV'T. CORP.,On-going
22,Upgrading of Cacub to Palo 19 Road,Koronadal-Tampakan,CY 2016CONT. APPROP. #194-GF,90.67%,100.00%,-9.33%," 9,769,932.04 ",180,7/26/16,5/21/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,On-going; no activities
23,"Construction of provincial Head Quarter's Building, Brgy. Morales",Koronadal City,CY 2018 CONT. APPROP. #115-GF,0.71%,0.08%,0.63%," 3,995,647.57 ",135,9/23/18,2/4/19,,E SOLATORIO,FH GOPITEO CONSTRUCTION & SUPPLY,On-going
24,"Completion of Brgy. Hall, Brgy. Zone III",Koronadal City,CY 2018 CONT. APPROP. #319-GF,13.09%,10.01%,3.08%," 847,948.75 ",60,9/5/18,11/3/18,,E SOLATORIO,FH GOPITEO CONSTRUCTION & SUPPLY,On-going
25,"Const. of Day Care Center, Sitio El Ulit, Brgy. Bukay Pait",Tantangan,CY 2017 20% LDF,100.00%,100.00%,0.00%," 1,185,000.00 ",60,6/13/18,8/10/18,8/10/18,A DEMETILLO,FREDEN CONSTRUCTION,Completed
26,Repair of Lined Canal & Inst. Of Drop Structure @ Sitio Lambukay,Banga,CY 2017 20% LDF,100.00%,85.61%,14.39%," 2,205,000.00 ",120,1/2/18,10/6/18,9/25/18,MJ Dauz,FREDEN CONSTRUCTION,Completed
27,"Repair of Senior Citizen Building & Construciton of Covered Area with Stage, Brgy. Rang-ay",Banga,CY 2018 CONT. APPROP. GF# 256 & 58,6.07%,3.54%,2.53%," 1,492,117.32 ",90,9/5/18,12/4/18,,MJ Dauz,FH GOPITEO CONSTRUCTION & SUPPLY,On-going
28,Const. of Two CL School Bldg. w/ Two Seater Attached Toilet @ Matlong E/S,Banga,2018 CONT. APPRO SEF #42,85.65%,87.49%,-1.84%," 1,990,698.89 ",120,6/10/18,10/7/18,,CJ HICBAN,C.A BETALAC CONST. & GEN. MDSE.,On-going
29,"Spring Dev't. & Inst. Of Level II Water System through Hydraulic Rampump, Brgy. San Vicente",Banga,CY 2017 20% LDF,61.59%,69.62%,-8.03%," 2,700,099.48 ",175,5/21/18,11/11/18,,ME Dondiego,DAVAO SANTHONY BUILDERS CORP.,On-going
30,Upgrading of Yangco-Rang-ay Road,Banga,CY 2018 20% LDF,56.81%,37.11%,19.70%," 10,985,324.48 ",125,7/4/18,11/5/18,,ME Dondiego,FH GOPITEO CONST. & SUPPLY,On-going
31,Const. of Riverbank Protection (Indigenous Materials) & Rechanelling of Waterway @ Brgy. San Miguel,Norala,SEF-212-11.1a,0.93%,0.84%,0.09%," 2,692,684.72 ",60,11/1/16,11/1/18,,CJ HICBAN,ROCKSTONE CONST. SERVICES & SUPPLY,"On-going; resumed as of September 25, 2018"
32,Rehabilitation of NDH Water System,Norala,CY 2017 20% LDF,45.58%,100.00%,-54.42%," 375,786.23 ",40,12/21/17,9/14/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"On-going; project expires last Sept. 15, 2018 and no project engineer on site since the start of the project"
33,Rehabilitation of Puti Water System,Norala,CY 2018 CONT. APPROP. GF #,80.85%,100.00%,-19.15%," 1,962,026.71 ",120,4/8/18,8/30/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going;
34,Conc. Of Provincial Road Lapus to Brgy. Liberty,Norala,CY 2018 CONT. APPROP. GF #75,6.80%,11.17%,-4.37%," 17,240,000.00 ",125,3/29/18,7/31/18,,CJ HICBAN,FREDEN CONSTRUCTION,"Project suspended as of April 25, 2018 due to road right of way problem"
35,"Const. of 1CL School Bldg. w/ Attached Toilet, Upper Lamongkot E/S",Norala,CY 2018 CONT. APPROP. SEF #40,54.81%,63.86%,-9.05%," 1,390,357.74 ",110,6/11/18,9/28/18,,A SOBREVEGA,JAMI CONST. & SUPPLY,On-going
36,"Const. of 2CL Bldg. w/ Two Seater Attached Toilet, Lapuz Elementary School",Norala,2018 CONT. APPROP SEF #43,69.13%,77.06%,-7.93%," 1,990,444.60 ",120,7/4/18,10/31/18,,A SOBREVEGA,FH GOPITEO CONST. & SUPPLY,On-going
37,Construction of Bleacher @ Brgy. Dumaguil,Norala,2018 CONT. APPROP GF #256,44.47%,91.91%,-47.44%," 989,929.33 ",60,7/10/18,10/2/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going; no project engineer on site since the start of the project
38,Upgrading of Jct. provincial Road-Lopez Jaena to Brgy. Katipunan,Norala & Sto. Niño,CY 2018 20% LDF #4.2.14,3.52%,13.49%,-9.97%," 9,988,834.34 ",162,9/6/18,2/14/19,,A SOBREVEGA,FREDEN CONSTRUCTION,On-going
39,"Const. of 2-Storey Barangay Hall, Brgy. Little Baguio",Surallah,CY 2017 20% LDF,88.11%,100.00%,-11.89%," 2,989,004.51 ",145,1/18/18,6/11/18,,ME Dondiego,NIRVANA CONST. & SUPPLIES,On-going; project expired as of June 11
40,Concreting of Tubi-ala Lambontong Road part. Approaching to Malomboy Bridge,Surallah,CY 2017 20% LDF,80.18%,100.00%,-19.82%," 8,494,519.47 ",160,1/2/18,6/10/18,,ME Dondiego,HEXAMINDZ CORPORATION,On-going; project expired as of June 10
41,Const. of Box Culvert along Tubi-ala-Lambontong Road,Surallah,2016 PDRRMF-IP,100.00%,86.33%,13.67%," 2,990,518.48 ",125,4/19/18,10/1/18,9/15/18,ME Dondiego,FH GOPITEO CONST. & SUPPLY,Completed
42,Construction of Dog Impounding facility Ecological Park,Surallah,CY 2018 Cont. Appro GF # 316,2.05%,1.88%,0.17%," 1,791,047.18 ",90,8/15/18,12/15/18,,CJ HICBAN,FH GOPITEO CONST. & SUPPLY,"On-going; resumed as of September 18, 2018"
43,Installation of Lined Canal along Crossing Verayo - Lambontong Rd,Surallah,CY 2018 20% LDF 4.6.1,16.57%,13.16%,3.41%," 2,632,134.06 ",110,8/21/18,12/8/18,,CJ HICBAN,DAVAO SANTHONY BUILDERS CORP.,On-going
44,Upgrading of Provincial Road Jct. Nhwy. Brgy. Teresita,Sto. Niño,2018 20% LDF,82.07%,19.62%,62.45%," 14,990,000.00 ",135,6/28/18,11/9/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going
45,Concreting of Halilan Road,Lake Sebu,CY 2017 20% LDF,100.00%,100.00%,0.00%," 9,980,267.35 ",170,1/18/18,7/24/18,9/18/18,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,Completed
46,Const. of Erosion Control @ Hanoon ES,Lake Sebu,2017 Truct Fund PDRRMO,100.00%,100.00%,0.00%," 3,992,761.71 ",90,4/10/18,9/6/18,9/6/18,A SOBREVEGA,NIRVANA CONST. & SUPPLIES,Completed
47,"Const. of Bridge @ New Dumangas, T'boli-Sitio Roxas",T'boli,CY 2016 CONT. APPROP.,60.90%,95.08%,-34.18%," 24,961,302.94 ",340,6/25/17,7/9/18,,ME Dondiego,FREDEN CONSTRUCTION,"Project suspended as of July 9, 2018"
48,Conc. Of Road Leading to Bakngeb underground River,T'boli,CY 2017 20% LDF,48.49%,100.00%,-51.51%," 4,995,579.03 ",80,12/25/17,6/16/18,,MJ Dauz,JAMI CONST. & SUPPLY,On-going; major issue: no heavy equipments and insuffiecient manpower
49,Concreting of Datal D'lanag-Tudok Road,T'boli,2018 Cont. Appropriation GF #239,89.18%,82.87%,6.31%," 19,990,000.00 ",180,4/22/18,11/17/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going
50,"Construction of Box Culvert along Malu Creek, Sitio Bianan, Brgy. Basag",T'boli,2018 CONT. APPROP. PDRRMF #45,71.28%,58.47%,12.81%," 2,992,000.00 ",175,5/21/18,11/11/18,,A. DEMETILLO,FREDEN CONSTRUCTION,On-going
51,"Spring Development & Installation of Level III Water System through Hydraulic Rampump, Sitio Lamumay",T'boli,2018 CONT. APPROP. GF #308,76.07%,96.51%,-20.44%," 2,425,980.27 ",120,5/21/18,9/17/18,,MJ Dauz,DAVAO SANTHONY BUILDERS CORP.,"Suspended as of September 14, 2018 due to revision of plans & variation order"
52,Rehabilitation of Lamdalag - Lamcade - Klubi Rd,Lake Sebu,2018 Cont. Appro GF#318,1.99%,10.55%,-8.56%," 7,153,222.57 ",125,8/15/18,12/17/18,,A SOBREVEGA,THREE G BUILDERS,On-going
,CMGP,,,,,,,,,,,,,
1,Upgrading of Jct Nhwy. Palkan-Cannery-Jct. Upper Klinan Road (2018),Polomolok,CMGP CY 2018,6.79%,8.63%,-1.84%," 23,929,475.94 ",168,8/7/18,1/21/19,,J JANUTO,PASE CONSTRUCTION,On-going; major issue: heavy downpour casuing damaged to the prepared base of PCCP
2,Upgrading of Jct. Palkan-Cannery-Jct. Upper Klinan Road (2017),Polomolok,CMGP CY 2017,80.51%,56.80%,23.71%," 65,098,979.00 ",140,10/10/17,10/28/18,,J JANUTO,RITCHIE-NATHALIE BUILDERS & GEM. MDSE,On-going; major issue: occurrence of flashflood casuing damage to road shoulder and lined canal
3,Upgrading of Jct Nhwy - Sulit - Bentung - Crossing Aflek Rd,Polomolok,CMGP CY 2018,24.01%,18.01%,6.00%," 15,760,000.00 ",113,8/7/18,11/28/18,,J JANUTO,FREDEN CONSTRUCTION,On-going
4,Upgrading of Nhwy - Cebuano - Kipalbig Bdry Rd,Tupi,CMGP CY 2018,16.18%,6.34%,9.84%," 21,545,865.65 ",168,8/7/18,1/21/19,,A BARRIENTOS,HVC SAGITTARIUS COMMERCIAL & CONSTRUCTION,On-going
5,Upgrading of Tampakan-Tablu Boundary Road,Tampakan,CMGP CY 2018,10.54%,3.41%,7.13%," 19,295,000.00 ",126,8/16/18,12/19/18,,A. Demetillo,FREDEN CONSTRUCTION,On-going
6,Upgrading of Tampakan-Sta. Cruz-Topland Boundary Road,Tampakan,CMGP CY 2018,9.59%,24.23%,-14.64%," 22,179,490.33 ",146,8/8/18,12/31/18,,A. Demetillo,Dalanon Construction,On-going
7,Upgrading of Jct.Nhwy. New Iloilo-Cabuling-New Lambunao Boundary Road,Tantangan,CMGP CY 2018,16.26%,5.97%,10.29%," 33,866,533.26 ",172,8/7/18,1/25/19,,S. Rentoza,Reydan Builders,On-going
8,Upgrading of Jct. Nhwy. Poblacion - Tantangan-Tacub-Tinago Boundary Road,Tantangan,CMGP CY 2018,6.34%,8.87%,-2.53%," 23,825,000.00 ",152,8/7/18,1/5/19,,S. Rentoza,FREDEN CONSTRUCTION,On-going; major issue: the layout of lined canal does not conform with the approved pland and the elevation shoud be leveled with the edge of the PCCP & not to the center line
9,Upgrading of NHWY Jct. Colungulo-Moloy-Duengas-Talahik Road,Surallah,CMGP CY 2017,93.81%,100.00%,-6.19%," 41,120,974.15 ",115,10/10/17,6/7/18,,ME Dondiego,BETTER WORK CONSTRUCTION,"On-going; project expired as of June 7, 2018"
10,Upgrading of Centrala-Naci-Lambontong Road,Surallah,CMGP CY 2018,11.90%,8.84%,3.06%," 31,553,343.91 ",168,8/7/18,1/21/19,,ME Dondiego,FH Gopiteo Const.& Supply,On-going
,,,,,,,,,,,,,,
Prepared by:,,,,,,Submitted by:,,,,,,,Approved:,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ELSA T. SOMBREA,,"CASIMERO D. PADILLA, JR.",,,,"VICENTE P. AYONGAO, MPA",,,,,,,"MARNILO S. APEROCHO, MPA",
Engineer III-Chief Upper Valley Section,,"Engineer III-Chief, Lower Valley Section",,,,Engineer IV,,,,,,,Provincial Engineer,
,,,,,,Chief Const. & Maint. Division,,,,,,,,
