Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of May 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date,Date Completed,Project Engineer,Implementor,Remarks
28,"Establishment of Greenhouse for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.2,77.05%,100.00%,-22.95%," 264,308.97 ",40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; no activity; MAJOR ISSUES: 1)UNAVAILABILITY OF UV PLASTIC SHEETS 600 MICRONS IN LOCAL MARKET 2)INABILITY OF THE CONTRACTOR TO INSTALL THE SPRINKLER SYSTEM
29,"Establishment of Nursery for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.1,75.58%,100.00%,-24.42%," 288,485.65 ",40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; no activity; MAJOR ISSUES: 1)UNAVAILABILITY OF UV PLASTIC SHEETS 600 MICRONS IN LOCAL MARKET 2)INABILITY OF THE CONTRACTOR TO INSTALL THE SPRINKLER SYSTEM
30,Inst. Of Lined Canal along Rang-ay-Lamba Road,Banga,CY 2017 20% LDF,98.11%,100.00%,-1.89%," 1,515,778.02 ",70,9/24/17,4/20/18,,MJ Dauz,DAVAO SANTHONY BUILDERS CORP.,On going; MAJOR ISSUES: 1)DELAY DUE TO THE RESTORATION OF WASHED OUT PORTION OF NEWLY INSTALLED LINED CANAL DUE TO FLASH FLOOD
31,"Renovation-Repair of Training Center @ Provincial Scion Grove, Nursery & Demo Farm",Banga,CY 2017 20% LDF,98.51%,100.00%,-1.49%," 1,761,935.91 ",100,4/29/00,3/4/18,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; MAJOR ISSUES: 1) INABILITY OF THE CONTRACTOR TO PROVIDE AND MAXIMIZE MANPOWER AND MATERIALS
32,Repair of Lined Canal & Inst. Of Drop Structure @ Sitio Lambukay,Banga,CY 2017 20% LDF,30.90%,17.36%,13.54%," 2,205,000.00 ",120,1/2/18,8/7/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going; project resumed
33,Concreting of Lambingi-Lampari Road,Banga,CY 2017 20% LDF,61.19%,83.70%,-22.51%," 11,988,000.00 ",140,1/18/18,6/6/18,,MJ Dauz,FREDEN CONSTRUCTION,"On-going; MAJOR ISSUES: 1)DESPITE THE PASSED TEST RESULTS FOR 311, SUCCEEDING POURING ACTIVITIES SHOED OVERSIZED AGGREGATE FOR ITEM 311"
34,Const. of Riverbank Protection (Indigenous Materials) & Rechanelling of Waterway @ Brgy. San Miguel,Norala,SEF-212-11.1a,0.53%,3.75%,-3.22%," 2,692,684.72 ",60,11/1/16,12/30/16,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"This project is still suspended as of November 23, 2016 due to water way problem & revision of plans."
35,Conc. Of Poblacion-Simsiman-Matapol Road,Norala,CY 2015 20% LDF,97.65%,100.00%,-2.35%," 11,438,082.05 ",230,7/30/17,4/10/18,,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,"On-going; project expired last Apr. 10, 2018"
36,Conc. Of Jct. Lopez Jaena-Puti Road,Norala,CY 2017 20% LDF,97.34%,100.00%,-2.66%," 14,992,780.22 ",175,11/8/17,5/1/18,,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,On-going
37,Rehabilitation of NDH Water System,Norala,CY 2017 20% LDF,1.48%,19.19%,-17.71%," 375,786.23 ",40,12/21/17,1/29/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of January 9, 2018 due to revision of plan approved  original plan is not suitable on site."
38,Renovation of Lapuz Brgy. Hall,Norala,CY 2017 20% LDF,82.71%,100.00%,-17.29%," 1,319,000.00 ",80,12/19/17,3/8/18,,A SOBREVEGA,"ISULAN ECT CONST. & GEN. MDSE., INC.","This project was already expired last March 9, 2018; Subject for liquidated damages"
39,Completion of Gym @ Brgy. Tinago,Norala,CY 2018 CONT. APPROP. GF #318,90.05%,100.00%,-9.95%," 993,609.25 ",60,3/25/18,5/23/18,,A SOBREVEGA,THREE G BUILDERS,On-going; TIME EXTENSION is on process
40,Rehabilitation of Puti Water System,Norala,CY 2018 CONT. APPROP. GF #,3.11%,25.70%,-22.59%," 1,962,026.71 ",100,4/8/18,7/16/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
41,Conc. Of Provincial Road Lapus to Brgy. Liberty,Norala,CY 2018 CONT. APPROP. GF #75,6.80%,11.17%,-4.37%," 17,240,000.00 ",125,3/29/18,7/31/18,,A SOBREVEGA,FREDEN CONSTRUCTION,"Project suspended as of April 25, 2018 due to road right of way problem"
 ,"Const. of Stage & Bleacher, Brgy. Plaza, Sajaneba",Sto. Niño,CY 2017 20% LDF,100.00%,100.00%,0.00%," 1,994,000.00 ",120,1/18/18,5/17/18,5/17/18,ME Dondiego,FREDEN CONSTRUCTION,Completed
43,Construction of Naci Bridge,Surallah,CY 2015 20% LDF,98.29%,100.00%,-1.71%," 24,830,790.34 ",345,1/21/16,12/30/16,,MJ Dauz,CS CONSTRUCTION & SUPPLY (formerly: CS CONSTRUCTION/COFEJOK CONST. & SUPPLY CORP.-JOINT VENTURE,On-going; the contractor has committed to finish the project despite the liquidated damages incurred; MAJOR ISSUE: 1)VERY SLOW CONTRACTOR
44,"Const. of 2-Storey Barangay Hall, Brgy. Little Baguio",Surallah,CY 2017 20% LDF,44.70%,61.96%,-17.26%," 2,989,004.51 ",145,1/18/18,6/14/18,,ME Dondiego,NIRVANA CONST. & SUPPLIES,On-going
45,Concreting of Tubi-ala Lambontong Road part. Approaching to Malomboy Bridge,Surallah,CY 2017 20% LDF,40.20%,83.58%,-43.38%," 8,494,519.47 ",140,1/2/18,5/21/18,,ME Dondiego,HEXAMINDS CORPORATION,On-going
46,Const. of Box Culvert along Tubi-ala-Lambontong Road,Surallah,2016 PDRRMF-IP,0.13%,0.13%,0.00%," 2,990,518.48 ",125,4/19/18,8/21/18,,ME Dondiego,FH GOPITEO CONST. & SUPPLY,Project suspended due to change of project location
47,Consreting of Halilan Road,Lake Sebu,CY 2017 20% LDF,75.23%,100.00%,-24.77%," 9,980,267.35 ",125,1/18/18,5/22/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"On-going; project expired last May 22, 2018"
48,Const. of Erosion Control @ Hanoon ES,Lake Sebu,2017 Truct Fund PDRRMO,0.27%,46.40%,-46.13%," 3,992,761.71 ",90,4/10/18,7/8/18,,A SOBREVEGA,NIRVANA CONST. & SUPPLIES,On-going
49,Conc. Of New Dumangas Road (Leading to Ressetlement Area),T'boli,CY 2017 20% LDF,91.97%,100.00%,-8.03%," 4,992,486.84 ",155,11/9/17,4/12/18,,MJ Dauz,ROCKSTONE CONST. SERVICES & SUPPLY,On-going; MAJOR ISSUES: 1)VERY SLOW; 2)POOR WORKMANSHIP
50,"Const. of Bridge @ New Dumangas, T'boli-Sitio Roxas",T'boli,CY 2016 CONT. APPROP.,56.50%,95.08%,-38.58%," 24,961,302.94 ",340,6/25/17,5/30/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going
51,Conc. Of Road Leading to Bakngeb underground River,T'boli,CY 2017 20% LDF,16.05%,32.34%,-16.29%," 4,995,579.03 ",80,12/25/17,3/14/18,,MJ Dauz,JAMI CONST. & SUPPLY,"Suspended as of Mar. 2, 2018 due to problem with the ROW from Sta. 0+000-Sta. 0+100"
52,Concreting of Datal D'lanag-Tudok Road,T'boli,2018 Cont. Appropriation GF #239,6.06%,0.71%,5.35%," 19,990,000.00 ",180,4/22/18,10/18/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going
53,Completion of Brgy. Hall @ Brgy. Talcon,T'boli,CY 2017 20% LDF,94.80%,91.81%,2.99%," 642,138.71 ",50,4/2/18,5/30/18,,A. DEMETILLO,KING BUILDERS CONST. & SUPPLY,On-going
54,"Construction of Box Culvert along Malu Creek, Sitio Bianan, Brgy. Basag",T'boli,2018 CONT. APPROP. PDRRMF #45,3.38%,0.54%,2.84%," 2,992,000.00 ",175,5/21/18,11/11/18,,A. DEMETILLO,FREDEN CONSTRUCTION,On-going
55,"Spring Development & Installation of Level III Water System through Hydraulic Rampump, Sitio Lamumay",T'boli,,0.00%,3.50%,-3.50%," 2,425,980.27 ",120,5/21/18,9/17/18,,MJ Dauz,DAVAO SANTHONY BUILDERS CORP.,On-going
,,,,,,,,,,,,,,
Prepared by:,,,,,,Submitted by:,,,,Recommending Approval:,,,Approved:,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ELSA T. SOMBREA,,"CASIMERO D. PADILLA, JR.",,,,"VICENTE P. AYONGAO, MPA",,,,GENEROSA P. CAPUNDAN,,,"MARNILO S. APERCHO, MPA",
Engineer III-Chief Upper Valley Section,,"Engineer III-Chief, Lower Valley Section",,,,Engineer IV,,,,Assistant Provincial Engineer,,,Provincial Engineer,
,,,,,,Chief Const. & Maint. Division,,,,,,,,
